,1,2,3,4,5
,CSD-100,QUARTAS-500s,QUARTAS-2000s,FANFARE-2000,FANFARE-4000
md,1,1,1,4,8
fan,1,1,4,4,8
filter,1,1,1,4,4
dr,3,7,7,7,7
zr,NA,NA,16,16,32
100,1,1,1,1,1
101,1,1,1,1,1
102,1,1,1,1,1
103,1,1,1,1,1
104,1,1,1,1,1
105,1,1,1,1,1
106,1,1,1,1,1
107,1,1,1,1,1
108,1,1,1,1,1
109,NA,NA,1,1,1
110,NA,NA,NA,NA,1
111,1,1,1,1,1
112,NA,NA,NA,NA,1
113,NA,NA,NA,1,1
114,1,1,1,1,1
115,1,1,1,1,1
116,1,1,1,1,1
117,1,1,1,1,1
118,1,1,1,1,1
119,1,1,1,1,1
120,1,1,1,1,1
121,1,1,1,1,1
122,1,1,1,1,1
123,1,1,1,1,1
124,NA,1,1,1,1
125,1,1,1,1,1
126,1,1,1,1,1
127,NA,1,1,1,1
128,1,1,1,1,1
129,NA,1,1,1,1
130,NA,1,1,1,1
131,1,1,1,1,1
132,NA,1,1,1,1
133,NA,1,1,1,1
134,NA,1,1,1,1
135,NA,NA,1,1,1
136,NA,NA,1,1,1
137,NA,NA,1,1,1
138,NA,NA,1,1,1
139,1,1,1,1,1
140,1,1,1,1,1
141,1,1,1,1,1
142,1,1,1,1,1
143,NA,NA,1,NA,NA
144,NA,NA,1,NA,NA
145,NA,NA,1,NA,NA
1100,1,1,1,1,1
1101,1,1,1,1,1
1102,1,1,1,1,1
1103,1,1,1,1,1
1104,1,1,1,1,1
1105,1,1,1,1,1
1106,1,1,1,1,1
1107,1,1,1,1,1
1108,1,1,1,1,1
1109,1,1,1,1,1
1110,1,1,1,1,1
1111,1,1,1,1,1
1112,1,1,1,1,1
1113,1,1,1,1,1
1114,1,1,1,1,1
1115,1,1,1,1,1
1116,1,1,1,1,1
1117,1,1,1,1,1
1118,1,1,1,1,1
1119,1,1,1,1,1
1120,1,1,1,1,1
1121,1,1,1,1,1
1122,1,1,1,1,1
1123,1,1,1,1,1
1124,1,1,1,1,1
1125,1,1,1,1,1
1126,1,1,1,1,1
1127,1,1,1,1,1
1128,1,1,1,1,1
1129,1,1,1,1,1
1130,1,1,1,1,1
1131,1,1,1,1,1
1132,1,1,1,1,1
1133,1,1,1,1,1
1134,1,1,1,1,1
1135,NA,NA,1,1,1
1136,NA,NA,1,1,1
1137,NA,NA,1,1,1
1138,NA,NA,1,1,1
1139,1,1,1,1,1
1140,1,1,1,1,1
1141,1,1,1,1,1
,,,,,
1000,1,1,1,1,1
1001,1,1,1,1,1
1002,1,1,1,1,1
1003,1,1,1,1,1
1004,1,1,1,1,1
1005,1,1,1,1,1
1006,1,1,1,1,1
1007,1,1,1,1,1
1008,1,1,1,1,1
1009,1,1,1,1,1
1010,1,1,1,1,1
1011,1,1,1,1,1
,,,,,
100,1,1,1,1,1
101,1,1,1,1,1
102,1,1,1,1,1
103,1,1,1,1,1
104,1,1,1,1,1
105,1,1,1,1,1
106,1,1,1,1,1
107,1,1,1,1,1
108,1,1,1,1,1
109,1,1,1,1,1
110,1,1,1,1,1
111,1,1,1,1,1
